ID,Name,Website,Country,City,Type,Apply ,Linkedin,Twitter,Team01Name,Team01Linkedin,Team02Name,Team02Linkedin,Team03Name,Team03Linkedin,Team04Name,Team04Linkedin,Team05Name,Team05Linkedin,Team06Name,Team06Linkedin,Team07Name,Team07Linkedin,Team08Name,Team08Linkedin,Team09Name,Team09Linkedin,Team10Name,Team10Linkedin,Team11Name,Team11Linkedin
1,Angel Groups,https://www.angelgroups.co.uk/,UK,Leeds,Angel syndicate,https://www.angelgroups.co.uk/smes/,https://www.linkedin.com/company/angelgroups/,https://twitter.com/AngelGroupsT,Martin Avison,https://www.linkedin.com/in/martin-avison/,Amber Avison,https://www.linkedin.com/in/amber-avison/,Rob Trotter,https://www.linkedin.com/in/rob-trotter-788ba112b/,Phillip Ogg,https://www.linkedin.com/in/phillip-ogg-14667427/,,,,,,,,,,,,,,
2,Angel Investment Network,https://www.angelinvestmentnetwork.co.uk/,UK,London,Angel marketplace,https://www.angelinvestmentnetwork.co.uk/entrepreneurs-home,https://www.linkedin.com/groups/2292583/,https://twitter.com/Angel__Network,,,,,,,,,,,,,,,,,,,,,,
3,Angels Den,https://www.angelsden.com/,UK,London,Angel marketplace,https://www.angelsden.com/get-funding/,https://www.linkedin.com/company/angels-den-funding/,https://twitter.com/AngelsDen,Manuel Costescu,https://www.linkedin.com/in/manuelcostescu/,Alex Clayhills,https://www.linkedin.com/in/alexclayhills/,Lukasz Gozdowski,https://www.linkedin.com/in/lukegoski/,,,,,,,,,,,,,,,,
4,Angels Invest Wales,https://developmentbank.wales/other-services/angels-invest-wales,UK,Wales,Angel network,https://developmentbank.wales/contact-angels-invest-wales,,,,,,,,,,,,,,,,,,,,,,,,
5,Archangels,https://archangelsonline.com/,UK,Edinburgh,Angel syndicate,https://archangelsonline.com/for-entrepreneurs/,https://www.linkedin.com/company/archangel-investors-limited/,https://twitter.com/ArchangelInvest,Sarah Hardy,https://www.linkedin.com/in/sarah-hardy-846a114/,Niki McKenzie,https://www.linkedin.com/in/niki-mckenzie-a9991739/,David Ovens,https://www.linkedin.com/in/invercap/,Shaolei McKie,https://www.linkedin.com/in/shaolei-mckie-6b49bb23/,Andrew Sealey,https://www.linkedin.com/in/andrew-sealey-a3534717/,Dan McKiddie,https://www.linkedin.com/in/daniel-mckiddie/,,,,,,,,,,
6,Bristol Private Equity Club,http://www.bristolprivateequityclub.com/,UK,Bristol,Angel syndicate,https://www.bristolprivateequityclub.com/seeking-investment/,https://www.linkedin.com/in/allan-rosengren-69262b13/,https://www.linkedin.com/in/heatherfrankham/,Allan Rosengren,https://www.linkedin.com/in/jerry-barnes-fca-80512144/,Heather Frankham,https://www.linkedin.com/in/peterlockett1/,Jerry Barnes,https://www.linkedin.com/in/edward-vanstone-0809b319/,Peter Lockett,,Edward Vanstone,,,,,,,,,,,,,
7,Cambridge Angels,https://cambridgeangels.com/,UK,Cambridge,Angel syndicate,https://cambridgeangels.com/why-cambridge-angels/,https://www.linkedin.com/company/cambridge-angels/,https://www.linkedin.com/in/tslivnik/,TomaÅ¾ Slivnik,https://www.linkedin.com/in/sephelan/,Sean Phelan,https://www.linkedin.com/in/tim-parsonson-33a3/,Tim Parsonson,https://www.linkedin.com/in/rsansom/,Robert Sansom,https://www.linkedin.com/in/paulanson/,Paul Anson,https://www.linkedin.com/in/jim-warwick-8220912/,Jim Warwick,https://www.linkedin.com/in/jim-warwick-8220912/,,,,,,,,,,
8,Cambridge Capital Group,http://www.cambridgecapitalgroup.co.uk/,UK,Cambridge,Angel syndicate,http://www.cambridgecapitalgroup.co.uk/ccg/5/entrepreneurs/,https://www.linkedin.com/company/cambridge-capital-group/,https://twitter.com/ccgangels,Struan McDougall,https://www.linkedin.com/in/struan-mcdougall-80927318/,Jayne Parker,https://www.linkedin.com/in/jayne-parker-b462114/,David Smith,https://www.linkedin.com/in/david-smith-70418111/,Roy McGregor,https://www.linkedin.com/in/roy-mcgregor-314753/,,,,,,,,,,,,,,
9,Datainsight,https://github.com/datainsightio/home,UK,London,Angel syndicate,https://docs.google.com/forms/d/e/1FAIpQLSdHW_vh20C5QXMl9_wna0WyNBkiGHW0JffWmH38pyYexB-slg/viewform?usp=send_form,,,,,,,,,,,,,,,,,,,,,,,,
10,Dorset Business Angels,https://dorsetbusinessangels.co.uk/,UK,Bournemouth,Angel network,https://dorsetbusinessangels.co.uk/entrepreneur-resources,https://www.linkedin.com/company/dorset-business-angels/,https://twitter.com/DorsetBizAngels,Don McQueen,https://www.linkedin.com/in/donmcqueen/,Frank Guinn,https://www.linkedin.com/in/frankguinn/,Stephen Royffe,https://www.linkedin.com/in/stephenroyffe/,Peter Eales,https://www.linkedin.com/in/petereales/,Max Wright,https://www.linkedin.com/in/maxwright/,,,,,,,,,,,,
