Name,imageUrl,Location,linkedin,Description,Investment_Sector,investments,companyWebsite
Mark Ransford,https://storage.googleapis.com/startupmag-c4bdc.appspot.com/angels/mark_ransford.jpg,"London, UK",https://uk.linkedin.com/in/markransford,Mark Ransford serves as an investor in the fintech sector.,"Retail and Commerce, Healthcare, Leisure, Fitness, Entertainment, Food and Beverage, Travel, Tech, B2C, Finance, Software, AI, Insurance, B2B, Data, Cyber Security,","BibliU, Fluidly, Lendable, Privitar, TransferGo, Yonder, Zego, Incredible,",
Chris Adelsbach,https://storage.googleapis.com/startupmag-c4bdc.appspot.com/angels/chris_adelsbach.jpg,"London, UK",https://uk.linkedin.com/in/chrisadelsbach,"Chris Adelsbach, a successful entrepreneur and renowned angel investor, holds an impressive portfolio of 225 primarily fintech companies. Adelsbach was named Business Insider's top Seed investor in Europe for 2022 and Sifted's most active Fintech Angel from 2021 to 2023. His private portfolio comprises 175 companies, which have attracted over Â£1.5 billion in follow-on investments, and his 50 investments made as Techstars MD have grown eightfold in value. As the creator of Europe's top-rated accelerator, Adelsbach was acknowledged as the UKBAA Angel Investor of the year in 2018/19. Adelsbach, who co-founded Marlin Financial Group and later transitioned from entrepreneur to venture investor after a successful exit to a NASDAQ-listed company in 2014, now serves as the co-founder and Managing Partner at Outrun Ventures and as a Venture Partner at Techstars. Known for mentoring mission-driven founders, he has invested early into three unicorns and holds several leading fintechs in his portfolio, including Monese, Marshmallow, and Quant Network. Additionally, Adelsbach held the position of President of the University of Michigan UK Alumni Association, served on the Alumni Board at Michigan Ross School of Business, and is currently a member of the University of Michigan International Alumni Board.","Finance, Insurance, Crypto / Web 3 / Blockchain, Tech,","Atom Bank, Cutover, Cuvva, Everledger, Marshmallow, Monese, Smart Pension, Sharegain, Capsa AI, Low Observable Technology (LO:TECH),",
Rob Fagg,https://storage.googleapis.com/startupmag-c4bdc.appspot.com/angels/rob_fagg.jpg,"London, UK",https://www.linkedin.com/in/rob-fagg-b732b250,"Rob Fagg serves as an Angel Investor, providing financial backing for small startups or entrepreneurs. His role typically involves offering capital in exchange for ownership equity or convertible debt.",,,https://www.onci.com
Alex Hanxiao M.,https://storage.googleapis.com/startupmag-c4bdc.appspot.com/angels/alex_hanxiao_m.jpg,"London, UK",https://www.linkedin.com/in/h-mao,"Alex Hanxiao M. is an accomplished professional in the field of Generative AI development, security, and safety. With over a decade of experience, he has been instrumental in architecting and securing mission-critical systems. His portfolio also includes serving as a product lead for several well-known brands. In addition to his primary role, Alex is a prolific angel investor and serves as a technical advisor to numerous AI and tech start-ups. His areas of expertise extend to technical architecture, product-market fit, security, and responsible AI practices. His goal is to guide cutting-edge innovations to benefit humanity, and he is continuously updating his knowledge on AI safety and advanced AI techniques. Alex also has a keen interest in aviation, holding private pilot and aer.",,,http://www.sky.com
Aarti Samani,https://storage.googleapis.com/startupmag-c4bdc.appspot.com/angels/aarti_samani.jpg,"London, UK",https://www.linkedin.com/in/aartisamani,"Aarti Samani is a professional with a diverse portfolio, primarily focusing on integrating artificial intelligence (AI) into business strategies. She is an AI strategist and corporate advisor, dedicated to promoting AI risk awareness and facilitating talent reorganization. In addition to her advisory roles, Samani is also a recognized speaker in her field. She offers her expertise as a commentator on artificial intelligence and technology for the BBC. Beyond her advisory and commentary roles, Samani is an investor and a non-executive director (NED).",,,https://bird-incubator.com/
Paulo Andrez,https://storage.googleapis.com/startupmag-c4bdc.appspot.com/angels/paulo_andrez.jpg,"London, UK",https://www.linkedin.com/in/pauloandrez,,,,https://www.invsetidoranjo.net
Rodrigo Abdalla,https://storage.googleapis.com/startupmag-c4bdc.appspot.com/angels/rodrigo_abdalla.jpg,"London, UK",https://www.linkedin.com/in/abdallarodrigo,"Rodrigo Abdalla serves as the Managing Director of Nutty Scientists London, a global leader in interactive STEAM programmes for children. He brings over 25 years of experience in strategy, management consulting, and angel investing to his role, where he spearheads the company's launch and growth. Abdalla has a keen interest in entrepreneurship, innovation, and education. In addition to his role at Nutty Scientists, Abdalla mentors and advises startups at various stages, from ideation to scaling, and invests in ventures that aim to create a positive impact. He is also the author of the award-finalist book, The Big Zero, which promotes a zero-based mindset as a tool for growth and competitiveness. Abdalla's overarching mission is to equip.",,,www.nuttyscientists.com/london
PrzemysÅ‚aw Helman,https://storage.googleapis.com/startupmag-c4bdc.appspot.com/angels/przemysÅ‚aw_helman.jpg,"Aberdeen, Scotland, UK",https://www.linkedin.com/in/przemyslaw-helman-57187653,Angel investor.,,,http://www.global-ec.com
Darren Wake,https://storage.googleapis.com/startupmag-c4bdc.appspot.com/angels/darren_wake.jpg,"Sheffield, UK",https://www.linkedin.com/in/darren-wake-894b5315,"Darren Wake serves as the Vision Angel, acting as the principal angel investor.",,,https://chromatwist.com/
Mark Farrer-Brown,https://storage.googleapis.com/startupmag-c4bdc.appspot.com/angels/mark_farrer_brown.jpg,"Hammersmith, UK",https://www.linkedin.com/in/mark-farrer-brown,"Mark Farrer-Brown is a seasoned professional with a passion for fostering growth and success in leaders, teams, and companies, while maintaining a strong emphasis on the human element. His expertise is best utilized by ambitious leaders, companies in the growth phase, and businesses with revenues ranging from Â£1m to Â£100m. His clientele often includes those backed by private equity or venture capital, or those preparing for an exit. Farrer-Brown's experience spans a variety of roles including founder, entrepreneur, coach, mentor, advisor, director, PE partner, and angel investor. His portfolio includes over 20 diverse companies in sectors such as restaurants, health & fitness, retail, food service, BTB SaaS, fintech, professional services,.",,,http://www.roycian.com
