Name,Website,Country,Coverage,Sector,Type
Accelerated Growth Programme,https://businesswales.gov.wales/growth/,Wales,National,Coaching / Mentoring Accelerator,
Access to Work Funding,https://www.nidirect.gov.uk/articles/employment-support-information,UK,National,Employement/Disabilities,
Ad:venture,https://www.ad-venture.org.uk/,England,West Yorkshire,Grant,Trading less than 3 years. B2B/B2C
Adur and Worthing small business grant,https://www.adur-worthing.gov.uk/businesses/support-and-funding/small-business-and-apprenticeship-grants/,England,"Adur and Worthing Borough, West Sussex",Grant,
Apprenticeship Employer Grant,https://www.apprenticeships.scot/for-employers/apprenticeship-employer-grant/,Scotland,National,Apprentiships,General
Apprenticeship Grant,https://www.gov.uk/employing-an-apprentice/get-funding,England,National,Apprentiship Grant,Ggeneral
Architectural Heritage Fund (AHF),https://ahfund.org.uk/,UK,National,Grant,Architecture
Arts Council England Funding,https://www.artscouncil.org.uk/get-funding/our-application-portal-grantium,England,UK,Grant,Arts
Arun Valley Business grant,https://www.arun.gov.uk/leap,England,"Arun District, West Sussex",Grant,Shopfront enhancement
Barrow Cadbury Trust Grants Criminal Justice,https://barrowcadbury.org.uk/what-we-do/programmes/criminal-justice/,UK,National,Grant,Social enterprise
Barrow Cadbury Trust Grants Economic Justice,https://barrowcadbury.org.uk/our-work/economic-justice/,UK,National,Grant,Social enterprise
Barrow Cadbury Trust Grants Migration,https://barrowcadbury.org.uk/our-work/migration/,UK,National,Grant,Social enterprise
Barrow Cadbury Trust Grants Social Investment,https://barrowcadbury.org.uk/what-we-do/programmes/social-investment/,UK,National,Grant,Social enterprise
Bg Effect Business Fund,https://www.blaenau-gwent.gov.uk/en/business/blaenau-gwent-business-hub/starting-a-business/support-to-start-a-business/,Wales,Blaenau Gwent County,Grant,
Big House CDI Grant icon,https://bighouse.org.uk/grants/,England,"Nottinghamshire, Derbyshire",Grant,
Universities for Nottingham Talent Grant,https://www.ntu.ac.uk/business-and-employers/financial-and-funded-support/universities-for-nottingham-talent-grants-and-innovation-vouchers,England,"Nottinghamshire, Derbyshire",Grant,
Boost Business Lancashire,https://www.boostbusinesslancashire.co.uk/,England,Lancashire,"Training, Grant",
Brexit Readiness Vouchers,https://www.qualityfreight.com/images/uploads/Intertrade-Ireland.pdf,Northern Ireland,National,Support Voucher,
British Council Grants,https://www.britishcouncil.org/education/he-science/opportunities,Britain,National,Grant,Research
Broadland District Business Builder,https://www.southnorfolkandbroadland.gov.uk/business/business-builder-programme,England,"Broadland District, Norfolk","Training, Grant",
Bucks Business First Grants and Vouchers,https://bbf.uk.com/business-support/grants-and-vouchers,England,Buckinghamshire,Grant,
Built Environment Climate Change Innovations (BECCI),https://www.wlv.ac.uk/business-services/project-legacy-page/about-the-becci-project/,England,"Coventry and Wolverhampton University, Hartlepool Borough, Durham",Free Support,
Capital grants for small businesses and enterprises,https://www.northyorks.gov.uk/uk-shared-prosperity-fund/capital-grants-small-businesses-and-enterprises,England,"Scarborough, North Yorkshire",Grant,
Support for Start Up Businesses,https://worcestershiregrowthhub.co.uk/support-for-start-up-businesses/,England,"Worcestershire County, Hartlepool Borough, Durham",,
Support for Small & Medium size Businesses,https://worcestershiregrowthhub.co.uk/support-for-small-medium-size-businesses/,England,"Worcestershire County, Hartlepool Borough, Durham",,
Support for Large Businesses,https://worcestershiregrowthhub.co.uk/support-for-large-businesses/,England,"Worcestershire County, Hartlepool Borough, Durham",,
Birmingham start a business,https://www.businessgrowthwestmidlands.org.uk/business-growth-resources/start-a-business/,England,"Solihull, Staffordshire, The Marches, Greater Birmingham, Stoke-On-Trent","Grants, Training",
