Additional Sources ,Count 
,
https://www.axial.net/forum/companies/family-offices/1/,445
https://www.swfinstitute.org/profiles/family-office/north-america,347
,
,
,
FAMILY OFFICES LIST https://ushedgefunds.com/family-offices-list/,
FAMILY OFFICES,
We have compiled together a list of over 350 Multi and Single Family Offices all across the United States. Just click on any of the Family Offices in the states below and you will be taken to their website for contacts and more information.,
ALABAMA FAMILY OFFICES,
"ARLINGTON CAPITAL ADVISORS Birmingham, AL",
"KEEL POINT HORIZON Huntsville, AL",
"MACHEN MCCHESNEY CPAS & BUSINESS ADVISORS Montgomery, AL",
"MCKINNEY CAPITAL Birmingham, AL",
"TIMBERLINE VENTURE CAPITAL INVESTMENTS Birmingham, AL",
"WARREN AVERETT CPAS & ADVISORS Birmingham, AL",
"WILKINS MILLER WEALTH MANAGEMENT LLC Mobile, AL",
ALASKA FAMILY OFFICES,
"LATASH INVESTMENTS LLC Anchorage, AK",
ARIZONA FAMILY OFFICES,
"ATHLETE WEALTH MANAGEMENT Scottsdale, AZ & Pasadena, CA",
"HERITAGE FAMILY OFFICES LLP Phoenix, AZ",
"MERISTEM FAMILY WEALTH LLC Scottsdale, AZ & Naples, FL & Minnetonka, MN",
"PIVOTAL GROUP INC Phoenix, AZ",
"SILVERHAWK PRIVATE WEALTH Scottsdale, AZ",
"TFO PHOENIX Phoenix, AZ",
"THE DAY FAMILY OFFICE Phoenix, AZ",
"TILTON & CO. CPA’S P.C. Tempe, AZ",
ARKANSAS FAMILY OFFICES,
"DOZIER CAPITAL PARTNERS Rogers, AR",
"GADBERRY FINANCIAL GROUP Little Rock, AR",
"GARRISON FINANCIAL Fayetteville, AR",
"LEGACY CAPITAL GROUP Little Rock, AR",
"MILLENNIUM CAPITAL ADVISORS LLC Little Rock, AR",
CALIFORNIA FAMILY OFFICES,
"ASCENT PRIVATE CAPITAL MANAGEMENT (US BANK) San Francisco, CA & La Jolla, CA",
"ASPIRIANT LLC San Francisco, CA",
"BLOSSOM WEALTH MANAGEMENT Alamo, CA",
"CAMDEN CAPITAL Los Angeles, CA",
"CORNERSTONE FAMILY OFFICE INC Carlsbad, CA",
"DRA FAMILY OFFICE San Diego, CA",
"GENSPRING FAMILY OFFICES LLC Costa Mesa, CA & Los Angeles, CA & San Francisco, CA",
"HOROWITZ GROUP Laguna Niguel, CA",
"ICONIQ CAPITAL San Francisco, CA",
"JEFFER MANGELS BUTLER & MITCHELL LLP Irvine, CA & Los Angeles, CA & San Francisco, CA",
KEIRETSU CAPITAL LLC,
"LAKESIDE VIRTUAL FAMILY OFFICE LLC Tuluca Lake, CA",
"LEGACY ROAD FAMILY OFFICES Beverly Hills, CA",
"MAKENA CAPITAL MANAGEMENT LLC Menlo Park, CA",
"MANCHESTER CAPITAL MANAGEMENT LLC Montecito, CA",
"MEYERS FAMILY ENTERPRISES Napa, CA",
"NOLAN CAPITAL INC Hermosa Beach, CA",
"ONE CAPITAL MANAGEMENT LLC Westlake Village, CA",
"PATHSTONE FEDERAL STREET Los Angeles, CA",
"PENINSULA FAMILY OFFICE Menlo Park, CA",
"PIMCO Newport Beach, CA",
"PREMIER FAMILY OFFICE Santa Monica, CA",
"PRESIDIUM PARTNERS LLC San Ramon, CA",
"SIELER LLP Redwood City, CA & San Francisco, CA",
"TARBOX FAMILY OFFICE INC Newport Beach, CA",
"THE CAPROCK GROUP INC Newport Beach, CA & San Jose, CA",
"TRUE CAPITAL MANAGEMENT LLC San Francisco, CA",
