Film Name,Description,Release Date,Director,IMDb Rating,,Websites,
Black Bag,Spy thriller set in the UK (Scheduled release).,"March 14, 2025",Steven Soderbergh,TBD,,MUBI,Login:
Caught Stealing,Crime thriller about a former baseball player plunged into the NYC criminal underworld.,"Aug 29, 2025",Darren Aronofsky,TBD,,Documentary Mania,Login:
Your Friends & Neighbors,Drama series starring Jon Hamm as a hedge fund manager who turns to crime.,"April 11, 2025",Jonathan Tropper (Creator),TBD,,Gaia,Login:
Koker Trilogy,"A series of three films, all set in the Koker region of Iran, that blend fiction and reality. The films are ""Where Is the Friend's Home?"", ""And Life Goes On"", and ""Through the Olive Trees"".",1987-1994,Abbas Kiarostami,N/A (Trilogy),,Amazon Prime,Login:
Kabir Project by Ajab Shehar,"A collection of documentary films and music exploring the 15th-century mystic poet Kabir's philosophy and verses in the contemporary world, through the songs of folk singers.",2003-2009,Shabnam Virmani,N/A (Project),,Netflix,Login:
Ajab shehar - Kabir project,"This refers to the same collection of documentary films and music by Shabnam Virmani exploring the poetry of Kabir in modern India. ""Ajab Shehar"" means ""Strange City.""",2003-2009,Shabnam Virmani,N/A (Project),,Disney Plus,Login:
Parthenope,"The life of a woman named Parthenope is traced from her birth in Naples in 1950 to the present day, exploring her long summer of youth, her loves, and the city's own story.",2024,Paolo Sorrentino,N/A,,Apple TV,Login:
The Agency,"Likely referring to the upcoming film ""The Amateur,"" where a CIA cryptographer blackmails the agency into training him to go after the terrorists who killed his wife.",2025,James Hawes,N/A,,,
Maria,"A biographical drama that follows the final, turbulent days of the legendary opera singer Maria Callas in 1970s Paris as she reflects on her extraordinary life and career.",2024,Pablo Larraín,N/A,,,
The Forest King,"An ambitious young man from a noble family, unable to serve the king due to his short stature, finds his purpose in the forest, learning its secrets and becoming its protector.",2024,Agata Szczerbiak,N/A,,,
Mount Athos documentary,"There are several documentaries about Mount Athos. One is titled ""People of the Holy Mountain"" by Andrei Oprescu, which offers a glimpse into the monastic life on the sacred mountain. Release date and IMDB rating are not readily available.",N/A,Andrei Oprescu,N/A,,,
See in the dark,"Information for a film with this exact title by Dimitri Legrand is not readily available. The provided URL leads to a series by the director, but not a specific film with this title. https://www.dimitrilegrand.com/series-eng",N/A,Dimitri Legrand,N/A,,,
Magneto,"There is no standalone ""Magneto"" film. The character is a central figure in the X-Men film series, portrayed by Ian McKellen and Michael Fassbender, exploring his complex relationship with Professor X and his fight for mutant rights.",N/A,N/A,N/A,,,
Maria (2024),A biographical drama about the final days of the legendary opera singer Maria Callas in 1970s Paris.,"November 27, 2024",Pablo Larraín,N/A,,,
The agency (french film),"A CIA analyst, after a personal tragedy, goes rogue to uncover a conspiracy within the agency. It appears you may be referring to the film 'The Amateur'.","April 11, 2025",James Hawes,N/A,,,
Parthenope,"The life of Parthenope, from her birth in 1950 to the present day, is intertwined with the city of Naples.","February 7, 2025",Paolo Sorrentino,N/A,,,
Dexter,"This is not a film, but the nickname given to the serial killer protagonist, Dexter Morgan, in the TV series Dexter. He is a forensic analyst who secretly hunts and kills other murderers.",2006-2013,Various,8.7/10 (Dexter),,,
