Name,Image URL,sector,Location,linkedin,Twitter,stage,companyWebsite,contact
Tomohawk VC,https://www.tomahawk.vc/,Software and Web3,,,,,,
Inspire Entrepreneurs Fund,https://storage.googleapis.com/startupmag-c4bdc.appspot.com/investors/strathacukworkwithusstrathclydeinspiregrowearly-stageinvestment.png,Generalist,"Glasgow, UK",https://www.linkedin.com/school/university-of-strathclyde/,@unistrathclyde,Pre-seed,https://www.strath.ac.uk/workwithus/strathclydeinspire/grow/early-stageinvestment/,inspire@strath.ac.uk
13Books Capital,https://storage.googleapis.com/startupmag-c4bdc.appspot.com/investors/insightincmiamiorg13-books-venture-capitalists-must-read-to-be-better-tech-investors.png,Fintech,"London, UK",https://www.linkedin.com/company/13books/,https://twitter.com/13bookscapital,"Seed, Growth",https://13bookscapital.com/,hello@13bookscapital.com
Natural Ventures,https://storage.googleapis.com/startupmag-c4bdc.appspot.com/investors/nuveencomglobalabout-usour-peopleinvestment-specialistsnatural-capital.png,Generalist,"NYC, US",https://www.linkedin.com/company/nuveen/,@NuveenInv,Growth,https://www.nuveen.com/global/about-us/our-people/investment-specialists/natural-capital,Dimitrios.Stathopoulos@Nuveen.com
Cavallo Ventures,https://storage.googleapis.com/startupmag-c4bdc.appspot.com/investors/cavallovccom.png,"Agtech, Animal Health, Nutrition","San Francisco, US",https://www.linkedin.com/company/cavallo-ventures/,,"Seed, Growth",https://www.cavallovc.com/,
Charterhouse Capital Partners,https://storage.googleapis.com/startupmag-c4bdc.appspot.com/investors/charterhousecouk.png,Generalist,"London, UK",https://www.linkedin.com/company/charterhouse-capital-partners-llp/,,Growth,https://www.charterhouse.co.uk/,
1confirmation,https://storage.googleapis.com/startupmag-c4bdc.appspot.com/investors/1confirmationcom.png,"Web 3, Blockchain","Palo Alto, US",https://www.linkedin.com/company/1confirmation/about/,@1confirmation,"Pre-seed, Seed, Growth",https://www.1confirmation.com/,
2050 Capital,https://storage.googleapis.com/startupmag-c4bdc.appspot.com/investors/2050capcom.png,generalist,"London, UK",https://www.linkedin.com/company/london-venture-factory/about/,,"Pre-seed, Seed",https://www.2050cap.com/,https://www.2050cap.com/contact
20VC,https://storage.googleapis.com/startupmag-c4bdc.appspot.com/investors/thetwentyminutevccom.png,Generalist,"London, UK",https://www.linkedin.com/company/20vc/,@twentyminutevc,"Pre-seed, Seed, Growth",https://www.thetwentyminutevc.com/,sarah@20vc.com
2100 Ventures,https://storage.googleapis.com/startupmag-c4bdc.appspot.com/investors/2100vc.png,Generalist,"London, UK",https://www.linkedin.com/in/andrea-gennarini-25725152/,,"Pre-seed, Seed",https://www.2100.vc/,
2150,https://storage.googleapis.com/startupmag-c4bdc.appspot.com/investors/2150vc.png,energy,"London, UK",https://www.linkedin.com/company/2150vc,@2150VC,"seed,growth",https://www.2150.vc/,
24Haymarket,https://storage.googleapis.com/startupmag-c4bdc.appspot.com/investors/24haymarketcom.png,Generalist,"London, UK",https://www.linkedin.com/company/24haymarket/,https://twitter.com/24Haymarket,"Seed, Growth",https://24haymarket.com/,fund@24haymarket.com
Boxfund VC,https://storage.googleapis.com/startupmag-c4bdc.appspot.com/investors/boxfundcouk.png,"Consumer, ESG, Greentech, Impact, B2C","London, UK",https://www.linkedin.com/company/boxfundvc/,,"Pre-seed, Seed",https://www.boxfund.co.uk/,hello@boxfund.co.uk
Bloomit Ventures,https://storage.googleapis.com/startupmag-c4bdc.appspot.com/investors/bloomitearth.png,Mobility,"Maarsbergen, Netherlands",https://www.linkedin.com/company/bloomit-ventures/,,"Seed, Growth",https://www.bloomit.earth/,niek@bloomit.earth
Continuum Health Ventures,https://storage.googleapis.com/startupmag-c4bdc.appspot.com/investors/continuumhealthvc.png,"Healthcare, Healthtech","Toronto, Canada",https://www.linkedin.com/company/continuum-health-ventures/,,"Seed, Growth",https://www.continuumhealth.vc/,https://www.continuumhealth.vc/contact
360 Capital Partners,https://storage.googleapis.com/startupmag-c4bdc.appspot.com/investors/360capvc.png,"Deeptech, Climatetech, Digital First","Paris, France",https://www.linkedin.com/company/360-capital-vc/,@360cp,"Pre-seed, Seed, Growth",https://360cap.vc/,https://www.360cap.vc/submit
3 Sisters Ventures,https://storage.googleapis.com/startupmag-c4bdc.appspot.com/investors/3svcouk.png,Femtech,"London, UK",http://www.linkedin.com/company/3sv-collective,,"Pre-seed, Seed, Growth",https://www.3sv.co.uk/,https://docs.google.com/forms/d/e/1FAIpQLScax1DggTF3tw5vde2WmM61w5BZIRXq_CSDFd29KBXb-KdgZQ/viewform
Lightbird Ventures,https://storage.googleapis.com/startupmag-c4bdc.appspot.com/investors/lightbirdvc.png,"B2B, Software, AI","Bern, Switzerland",https://www.linkedin.com/company/lightbird/,https://twitter.com/lightbird_vc,"Seed, Growth",https://www.lightbird.vc/,hello@lightbird.vc
3VC,https://storage.googleapis.com/startupmag-c4bdc.appspot.com/investors/threevc.png,Generalist,"London, UK",https://www.linkedin.com/company/capital300/,@threeVC/,"Seed, Growth",https://three.vc/,https://docs.google.com/forms/d/e/1FAIpQLScnWaNJPfPM_UdfmS41H4aHOi2b_CgNGDq5YfX29avE1MXk9w/viewform
