Name,imageUrl,Location,linkedin,twitter,stage,companyName,Website Logo,companyWebsite
Saul Goldstein,https://storage.googleapis.com/startupmag-c4bdc.appspot.com/angels/saul_goldstein.jpg,"London, UK",https://www.linkedin.com/in/saulgoldstein/,,Growth,ActivumSG Ventures,https://storage.googleapis.com/startupmag-c4bdc.appspot.com/investors/activumsgcom.png,https://www.activumsg.com/
Katherine Bond,https://storage.googleapis.com/startupmag-c4bdc.appspot.com/investors/katherine_bond.jpg,"London, UK",https://www.linkedin.com/in/katherine-bond-26a574142/,,Growth,WestBridge Capital,https://storage.googleapis.com/startupmag-c4bdc.appspot.com/investors/westbridgecouk.png,https://www.westbridge.co.uk/
Andy Parker,https://storage.googleapis.com/startupmag-c4bdc.appspot.com/investors/andy_parker.jpg,"London, UK",,,Growth,Ahren Capital,https://storage.googleapis.com/startupmag-c4bdc.appspot.com/investors/ahreninnovationcapitalcom.png,https://www.ahreninnovationcapital.com/
Guy Davies,,"London, UK",https://www.linkedin.com/in/guy-davies-63478413/,,Growth,WestBridge Capital,https://storage.googleapis.com/startupmag-c4bdc.appspot.com/investors/westbridgecouk.png,https://www.westbridge.co.uk/
Jared Rosner,,"San Francisco, US",https://www.linkedin.com/in/jared-rosner,,Growth,IVP,https://storage.googleapis.com/startupmag-c4bdc.appspot.com/investors/ivpcom.png,https://www.ivp.com/
James Clark,,"London, UK",https://www.linkedin.com/in/james-clark-541177131/,,Growth,Cabot Square Capital,https://storage.googleapis.com/startupmag-c4bdc.appspot.com/investors/cabotsquarecom.png,https://cabotsquare.com/
Alice Newcombe-Ellis,,"London, UK",https://uk.linkedin.com/in/alice-newcombe-ellis-b6b736158,,Growth,Ahren Capital,https://storage.googleapis.com/startupmag-c4bdc.appspot.com/investors/ahreninnovationcapitalcom.png,https://www.ahreninnovationcapital.com/
Jason Babcoke,,"San Mateo, US",https://www.linkedin.com/in/jason-babcoke-b0436/,,Growth,Sumeru Equity Partners,https://storage.googleapis.com/startupmag-c4bdc.appspot.com/investors/sumeruequitycom.png,https://sumeruequity.com/
Ara Yeromian,,"Toronto, Canada",https://uk.linkedin.com/in/arayeromian,,Growth,Teachers Ventures Growth,https://storage.googleapis.com/startupmag-c4bdc.appspot.com/investors/otppcomen-cainvestmentsour-investmentsteachers-venture-growth.png,https://www.otpp.com/en-ca/investments/our-investments/teachers-venture-growth/
Wojciech Goc,,"London, UK",https://www.linkedin.com/in/wojciech-goc-b23a2a100/,,Growth,Argan Capital Advisors,https://storage.googleapis.com/startupmag-c4bdc.appspot.com/investors/argancapitalcom.png,http://www.argancapital.com
Martyn James,,"London, UK",https://www.linkedin.com/in/martyn-james-04284082/,,Growth,Etfs Capital,https://storage.googleapis.com/startupmag-c4bdc.appspot.com/investors/etfscapitalcom.png,https://www.etfscapital.com/
Matt Melymuka,,"San Mateo, US",https://www.linkedin.com/in/matt-melymuka-98b5a617,,Growth,PeakSpan Capital,https://storage.googleapis.com/startupmag-c4bdc.appspot.com/investors/peakspancapitalcom.png,https://www.peakspancapital.com/
Tom Pemberton,https://storage.googleapis.com/startupmag-c4bdc.appspot.com/investors/tom_pemberton.jpg,"London, UK",https://www.linkedin.com/in/tom-pemberton-3882aa20,,Growth,Inflexion Private Equity,https://storage.googleapis.com/startupmag-c4bdc.appspot.com/investors/inflexioncom.png,https://www.inflexion.com/
Laurel Bowden,https://storage.googleapis.com/startupmag-c4bdc.appspot.com/angels/laurel_bowden.jpg,"London, UK",https://www.linkedin.com/in/laurel-bowden-3a869b/,,Growth,83North,https://storage.googleapis.com/startupmag-c4bdc.appspot.com/investors/83northcom.png,https://www.83north.com/
Dajana Mirborn,,"Stockholm, Sweden",https://www.linkedin.com/in/dajana-mirborn-8563a82/,,growth,Bonnier Ventures,https://storage.googleapis.com/startupmag-c4bdc.appspot.com/investors/bonnierventurescom.png,https://bonnierventures.com/
Oliver Hedaux,https://storage.googleapis.com/startupmag-c4bdc.appspot.com/investors/oliver_hedaux.jpg,"London, UK",https://uk.linkedin.com/in/oliverhedaux,,Growth,Ahren Capital,https://storage.googleapis.com/startupmag-c4bdc.appspot.com/investors/ahreninnovationcapitalcom.png,https://www.ahreninnovationcapital.com/
Ryan Ziegler,,"Princeton, US",https://www.linkedin.com/in/ryan-ziegler-1a824a82,,Growth,Edison partners,https://storage.googleapis.com/startupmag-c4bdc.appspot.com/investors/edisonpartnerscom.png,https://www.edisonpartners.com/
Wiktor Namysl,,"Prague, Czech Republic",https://pl.linkedin.com/in/wiktor-namysl-598335,,Growth,Orbit Capital,https://storage.googleapis.com/startupmag-c4bdc.appspot.com/investors/orbitcapitalcom.png,https://orbitcapital.com/
Hugh Rance,https://storage.googleapis.com/startupmag-c4bdc.appspot.com/investors/hugh_rance.jpg,"London, UK",https://uk.linkedin.com/in/hugh-rance-0b688523,,Growth,Toscafund,https://storage.googleapis.com/startupmag-c4bdc.appspot.com/investors/toscafundcom.png,https://www.toscafund.com/
Nadja Abbas,,"Stockholm, Sweden",https://www.linkedin.com/in/nadjaabbas/,,growth,Bonnier Ventures,https://storage.googleapis.com/startupmag-c4bdc.appspot.com/investors/bonnierventurescom.png,https://bonnierventures.com/
Chloe Hall,,"Sheffield, UK",https://uk.linkedin.com/in/chloe-hall-cfa-50578b113,,Growth,British Patient Capital,https://storage.googleapis.com/startupmag-c4bdc.appspot.com/investors/britishpatientcapitalcouk.png,https://www.britishpatientcapital.co.uk/
Cornel Chiriac,https://storage.googleapis.com/startupmag-c4bdc.appspot.com/angels/cornel_chiriac.jpg,"London, UK",https://www.linkedin.com/in/cornelchiriac/,,Growth,M&G Investments,https://storage.googleapis.com/startupmag-c4bdc.appspot.com/investors/imdbcomtitlett0022100.png,https://www.mandg.com/investments/gb
Rachel Townend,,"London, UK",https://uk.linkedin.com/in/rachel-townend-90a04069,,Growth,Illuminate Financial,https://storage.googleapis.com/startupmag-c4bdc.appspot.com/investors/illuminatefinancialcom.png,https://illuminatefinancial.com/
Jeffrey D Montgomery,https://storage.googleapis.com/startupmag-c4bdc.appspot.com/investors/amel_taourit.jpg,"London, UK",,,Growth,Gmt Partners,https://storage.googleapis.com/startupmag-c4bdc.appspot.com/investors/gmtpartnerscom.png,https://gmtpartners.com/
Venki Ramakrishnan,,"London, UK",https://uk.linkedin.com/in/ramakrishnan-venky-venkatakrishna-41829a2,,Growth,Ahren Capital,https://storage.googleapis.com/startupmag-c4bdc.appspot.com/investors/ahreninnovationcapitalcom.png,https://www.ahreninnovationcapital.com/
